image,location_id,menu_items_string
gallo_1.png,ed88d3d0-58cf-4db7-a368-67cec5a828af,"Ground beef, Chicken, Veggie, Cilantro or brown rice, Black or pinto beans, Burrito, Bowl, Quesadilla, Tacos, Salad"
gallo_2.png,ed88d3d0-58cf-4db7-a368-67cec5a828af,"Cheese, Lettuce, Sour Cream, Salsa, Guacamole, Onions and Peppers, Steamed Broccoli, Assorted Veggies"
gallo_3.png,ed88d3d0-58cf-4db7-a368-67cec5a828af,"CHIPS, CHIPS & SALSA, CHIPS & GUACAMOLE, RICE & BEANS, GUACAMOLE, SALSA, SOUR CREAM, 12"" TORTILLA"
gallo_4.png,ed88d3d0-58cf-4db7-a368-67cec5a828af,"Beef Empanada, Assorted Salads, Assorted Cakes, Fruit Cup, Churro, Fresh Fruit, Banana, Brownie, Macaron, Canned Soda, Bottled Water"
exchange_1.png,eb9fd492-9fde-44dd-a472-390a52297352,"Corned Beef, Roast Beef, Specialty Meat, Ham, Turkey, Tuna Salad, Chicken Salad, Egg Salad, Bacon Lettuce Tomato, Bacon Lettuce Tomato with cheese, Double Egg Sandwich with meat, Grilled Cheese, Half Sandwich, Marble Rye, Flour Tortilla, Sourdough, Whole Wheat, Bagel, Croissant, Udi's Gluten Free, American, Cheddar, Pepper Jack, Provolone, Swiss, Lettuce, Tomato, Banana Peppers, Black Olives, Onion, Cucumber, Jalapeno, Roasted Red Peppers, Dijon Mustard, Honey Mustard, Yellow Mustard, Mayo, Jalapeno Ranch, Italian Dressing"
exchange_2.png,eb9fd492-9fde-44dd-a472-390a52297352,"The Leonardo, Cheezy Beef Melt, Taste Sensation, The General Assembly, Classic Italian, Farnam Tuna Melt, Chicken Salad Melt, Tempeh Wrap, Half Sandwich with Small 8 oz. Soup, Herr’s Chips, Whole Fruit, Brownies, Cookies"
exchange_3.png,eb9fd492-9fde-44dd-a472-390a52297352,"Egg on English Muffin or Toast, Egg on Bagel or Croissant, Double Egg on Toast, Bacon, Turkey Bacon, Ham, Sausage Patty, Lettuce, Tomato, Onion, Banana Peppers, Black Olives, Cucumber, Jalapeno, Roasted Red Peppers, American, Cheddar, Pepper Jack, Provolone, Swiss, Fruit Salad, Whole Fruit, Greek Yogurt, Yogurt, Breakfast Bars, Croissant, Danish, Breakfast Muffin, Bagel with Cream Cheese, Toast with Butter and Jelly, Cream Cheese, Cereal and Milk"
exchange_4.png,eb9fd492-9fde-44dd-a472-390a52297352,"Entrée of the Day, Pasta of the Day, Small Side, Large Side, Small Vegetable of the Day, Large Vegetable of the Day, Buffalo Chicken Wrap, Southwest Chicken Wrap, Grilled Veggie Wrap, Small 8 oz. Soup, Large 12 oz. Soup, 8 oz. Soup with Half Salad No Protein, 8 oz. Soup with Half Salad with Protein, Half Sandwich with Small 8 oz. Soup, Juice, Lipton Iced Tea, Gatorade"
exchange_5.png,eb9fd492-9fde-44dd-a472-390a52297352,"Build-Your-Own, Salad Wrap in Flour Tortilla, Half Salad without Protein, Half Salad with Protein, Quinoa, Chicken Salad, Fried Chicken, Grilled Chicken, Ham, Tofu, Tuna Salad, Turkey, Roast Beef, Feta, Monterey Jack and Cheddar, Parmesan, Black Olives, Carrots, Chickpeas, Chow Mein Noodles, Corn, Croutons, Cucumber, Dried Cranberries, Green Peas, Parsley Couscous, Red Onion, Roasted Red Peppers, Sunflower Seeds, Tomatoes, Avocado Vinaigrette, Balsamic, Caesar, Italian, Oil and Vinegar, Ranch, Sesame Ginger, Honey Mustard"
exchange_6.png,eb9fd492-9fde-44dd-a472-390a52297352,"Chicken Salad, Tuna Salad, Broccoli Bacon Salad, Egg Salad, Pasta Salad, Potato Salad, Cole Slaw, Cucumber Feta Kalamata Olives and Tomato Salad, Fruit Salad, Quinoa Salad, Sesame Noodle Salad, Juice, Lipton Iced Tea, Gatorade"
